iter	Passed	Remaining
0	1	368
1	3	346
2	5	348
3	6	335
4	9	355
5	10	340
6	12	343
7	14	342
8	15	335
9	17	340
10	19	338
11	21	336
12	23	333
13	24	332
14	26	332
15	28	331
16	30	327
17	32	328
18	34	332
19	36	332
20	39	332
21	41	335
22	43	334
23	45	336
24	47	333
25	49	332
26	51	330
27	53	325
28	54	322
29	56	320
30	58	318
31	60	316
32	62	314
33	64	313
34	66	311
35	67	306
36	68	303
37	70	301
38	72	298
39	74	296
40	75	294
41	77	290
42	78	288
43	80	286
44	82	284
45	83	280
46	85	278
47	87	276
48	88	273
49	90	271
50	92	269
51	93	266
52	95	263
53	96	261
54	98	258
55	99	256
56	101	254
57	103	252
58	104	250
59	106	247
60	108	246
61	109	243
62	110	240
63	112	238
64	113	236
65	115	235
66	117	233
67	119	232
68	120	229
69	122	227
70	124	226
71	126	224
72	127	221
73	129	220
74	130	217
75	132	215
76	133	212
77	134	210
78	136	208
79	137	206
80	139	204
81	140	202
82	142	200
83	143	198
84	145	196
85	146	194
86	147	192
87	149	190
88	150	188
89	152	186
90	154	185
91	156	183
92	157	181
93	160	180
94	161	178
95	163	177
96	165	175
97	166	173
98	168	171
99	169	169
100	170	167
101	172	165
102	173	163
103	174	161
104	176	159
105	177	157
106	179	155
107	180	154
108	182	152
109	183	150
110	185	148
111	186	146
112	187	144
113	189	142
114	190	141
115	192	139
116	193	137
117	195	135
118	196	134
119	198	132
120	199	130
121	200	128
122	201	126
123	203	124
124	204	122
125	205	120
126	206	118
127	207	116
128	208	114
129	209	112
130	211	111
131	212	109
132	213	107
133	214	105
134	215	103
135	216	102
136	218	100
137	219	98
138	220	96
139	222	95
140	223	93
141	225	91
142	226	90
143	227	88
144	229	86
145	230	85
146	231	83
147	232	81
148	233	80
149	235	78
150	236	76
151	237	75
152	238	73
153	239	71
154	241	70
155	242	68
156	243	66
157	244	65
158	246	63
159	247	61
160	248	60
161	249	58
162	250	56
163	252	55
164	253	53
165	254	52
166	255	50
167	257	48
168	258	47
169	259	45
170	260	44
171	261	42
172	262	40
173	263	39
174	264	37
175	266	36
176	267	34
177	268	33
178	269	31
179	270	30
180	272	28
181	273	27
182	274	25
183	276	24
184	277	22
185	279	21
186	280	19
187	282	18
188	283	16
189	284	14
190	285	13
191	287	11
192	288	10
193	289	8
194	290	7
195	291	5
196	292	4
197	294	2
198	295	1
199	296	0
