iter	Passed	Remaining
0	1	1071
1	1	990
2	2	960
3	3	922
4	4	915
5	5	904
6	6	891
7	7	891
8	7	877
9	8	868
10	9	869
11	10	876
12	11	868
13	12	904
14	13	906
15	14	898
16	15	896
17	16	893
18	17	886
19	18	882
20	18	876
21	19	871
22	20	866
23	21	864
24	22	860
25	22	854
26	23	854
27	24	852
28	25	854
29	26	854
30	27	859
31	28	861
32	29	860
33	30	860
34	31	857
35	31	855
36	32	855
37	33	856
38	34	854
39	35	853
40	36	850
41	37	847
42	38	846
43	38	843
44	39	844
45	40	844
46	41	844
47	42	844
48	43	846
49	44	846
50	45	846
51	46	844
52	47	843
53	48	842
54	48	839
55	49	837
56	50	835
57	51	833
58	52	830
59	52	829
60	53	827
61	54	826
62	55	827
63	56	826
64	57	824
65	58	824
66	59	822
67	59	820
68	60	818
69	61	817
70	62	815
71	63	814
72	64	813
73	64	812
74	65	811
75	66	810
76	67	808
77	68	805
78	69	804
79	70	805
80	70	805
81	71	804
82	72	798
83	73	797
84	73	795
85	74	793
86	75	792
87	76	790
88	76	786
89	77	783
90	78	780
91	78	776
92	79	773
93	79	770
94	80	766
95	81	763
96	81	760
97	82	757
98	82	754
99	83	751
100	84	751
101	85	750
102	85	748
103	86	746
104	87	743
105	87	741
106	88	739
107	89	736
108	89	733
109	90	731
110	91	729
111	91	726
112	92	724
113	92	721
114	93	719
115	94	717
116	94	714
117	95	711
118	95	709
119	96	706
120	97	704
121	97	701
122	98	700
123	98	698
124	99	698
125	100	697
126	101	695
127	101	693
128	102	692
129	103	690
130	103	687
131	104	686
132	104	684
133	105	682
134	106	680
135	106	678
136	107	677
137	108	675
138	108	673
139	109	671
140	109	669
141	110	666
142	110	664
143	111	662
144	112	660
145	112	659
146	113	658
147	114	656
148	114	656
149	115	655
150	116	655
151	117	654
152	118	654
153	118	653
154	119	651
155	120	650
156	120	648
157	121	647
158	122	645
159	122	644
160	123	641
161	123	640
162	124	638
163	125	637
164	125	636
165	126	634
166	126	633
167	127	632
168	128	631
169	128	629
170	129	628
171	130	628
172	131	627
173	132	626
174	132	625
175	133	624
176	134	623
177	134	622
178	135	620
179	135	619
180	136	618
181	137	617
182	137	615
183	138	614
184	139	613
185	139	611
186	140	610
187	141	609
188	141	608
189	142	607
190	143	605
191	143	604
192	144	603
193	145	603
194	146	602
195	146	601
196	147	600
197	148	599
198	148	598
199	149	597
200	149	595
201	150	594
202	151	592
203	151	591
204	152	590
205	152	588
206	153	587
207	153	586
208	154	584
209	155	583
210	155	582
211	156	582
212	157	580
213	157	579
214	158	578
215	159	577
216	159	576
217	160	576
218	161	576
219	162	575
220	162	574
221	163	573
222	164	571
223	164	571
224	165	569
225	166	568
226	166	567
227	167	566
228	167	565
229	168	564
230	169	562
231	169	561
232	170	560
233	171	559
234	171	558
235	172	557
236	172	556
237	173	555
238	174	554
239	174	553
240	175	553
241	176	552
242	177	552
243	177	551
244	178	550
245	179	548
246	179	547
247	180	546
248	180	545
249	181	544
250	182	543
251	182	542
252	183	541
253	183	540
254	184	539
255	185	538
256	185	537
257	186	536
258	187	535
259	187	534
260	188	533
261	189	532
262	189	531
263	190	530
264	191	530
265	191	529
266	192	528
267	193	527
268	193	526
269	194	525
270	195	525
271	195	523
272	196	523
273	197	522
274	197	520
275	198	519
276	198	519
277	199	518
278	200	517
279	200	516
280	201	515
281	202	514
282	202	513
283	203	512
284	203	511
285	204	510
286	205	509
287	206	509
288	206	509
289	207	508
290	208	507
291	209	506
292	209	505
293	210	504
294	210	503
295	211	502
296	212	502
297	212	501
298	213	500
299	214	499
300	214	498
301	215	497
302	216	497
303	216	496
304	217	495
305	217	494
306	218	493
307	219	492
308	219	491
309	220	490
310	220	489
311	221	489
312	222	489
313	223	488
314	224	487
315	224	486
316	225	485
317	226	485
318	226	484
319	227	483
320	228	482
321	228	481
322	229	480
323	229	479
324	230	478
325	231	478
326	231	477
327	232	476
328	233	475
329	233	474
330	234	473
331	234	472
332	235	471
333	236	471
334	237	470
335	237	470
336	238	469
337	239	469
338	240	468
339	240	467
340	241	466
341	242	465
342	242	464
343	243	464
344	244	463
345	244	462
346	245	461
347	245	460
348	246	459
349	247	458
350	247	457
351	248	457
352	248	456
353	249	455
354	250	454
355	250	453
356	251	452
357	252	452
358	253	452
359	253	451
360	254	450
361	255	449
362	255	449
363	256	448
364	257	447
365	257	446
366	258	445
367	259	445
368	260	445
369	260	444
370	261	443
371	262	442
372	262	441
373	263	440
374	264	440
375	264	439
376	265	438
377	265	437
378	266	436
379	267	436
380	268	435
381	268	434
382	269	434
383	270	433
384	270	432
385	271	432
386	272	432
387	273	431
388	274	430
389	274	429
390	275	428
391	275	427
392	276	427
393	277	426
394	277	425
395	278	424
396	279	424
397	280	424
398	280	423
399	281	422
400	282	421
401	283	421
402	283	420
403	284	419
404	285	419
405	286	419
406	287	418
407	287	417
408	288	416
409	288	415
410	289	415
411	290	414
412	290	413
413	291	412
414	292	411
415	292	411
416	293	410
417	294	409
418	294	408
419	295	408
420	296	407
421	296	406
422	297	405
423	298	405
424	299	404
425	300	404
426	301	403
427	301	403
428	302	403
429	303	402
430	304	402
431	305	401
432	306	401
433	307	400
434	307	399
435	308	398
436	308	398
437	309	397
438	310	396
439	310	395
440	311	394
441	312	394
442	313	393
443	314	393
444	314	392
445	315	391
446	315	390
447	316	390
448	317	389
449	317	388
450	318	387
451	319	386
452	319	386
453	320	385
454	321	384
455	321	383
456	322	382
457	322	382
458	323	381
459	324	380
460	324	379
461	325	378
462	326	378
463	326	377
464	327	376
465	328	376
466	329	375
467	330	375
468	330	374
469	331	374
470	332	373
471	333	372
472	333	372
473	334	371
474	335	370
475	335	369
476	336	368
477	337	368
478	337	367
479	338	366
480	339	365
481	339	365
482	340	364
483	341	363
484	341	362
485	342	362
486	343	361
487	344	361
488	345	360
489	346	360
490	346	359
491	347	358
492	347	357
493	348	356
494	349	356
495	349	355
496	350	354
497	350	353
498	351	353
499	352	352
500	353	351
501	353	351
502	354	350
503	355	349
504	355	348
505	356	347
506	356	347
507	357	346
508	358	345
509	359	345
510	360	344
511	360	343
512	361	343
513	362	342
514	362	341
515	363	340
516	363	339
517	364	339
518	365	338
519	366	338
520	366	337
521	367	336
522	368	336
523	369	335
524	369	334
525	370	333
526	371	333
527	372	333
528	373	332
529	374	332
530	375	331
531	376	330
532	377	330
533	377	329
534	378	329
535	379	328
536	380	328
537	381	327
538	381	326
539	382	325
540	382	324
541	383	324
542	384	323
543	385	323
544	386	322
